dataset,table,ordinal,field,rows,null_rows,null_percent,approx_distinct,min_length,max_length,dictionary_present,declared_data_type,declared_primary_key
Elders and People of Determination,elders_people_of_determination,12,target_waiting_time,6120,0,0.0,1,5,5,True,VARCHAR2,False
Elders and People of Determination,elders_people_of_determination,13,total_no_of_tickets,6120,0,0.0,10,1,2,True,NVARCHAR2,False
Elders and People of Determination,elders_people_of_determination,14,load_timestamp,6120,0,0.0,75,23,23,False,,False
Free Zone Companies Licensing,free_zone_companies,1,email,250,0,0.0,222,11,38,True,nvarchar,False
Free Zone Companies Licensing,free_zone_companies,2,fz_company_name_ar,250,0,0.0,254,6,69,True,nvarchar,False
Free Zone Companies Licensing,free_zone_companies,3,fz_company_name_en,250,0,0.0,235,7,80,True,nvarchar,False
Free Zone Companies Licensing,free_zone_companies,4,fz_company_number,250,0,0.0,279,6,7,True,nvarchar,True
Free Zone Companies Licensing,free_zone_companies,5,license_expiry_date,250,0,0.0,174,10,10,True,date,False
Free Zone Companies Licensing,free_zone_companies,6,license_issue_date,250,0,0.0,195,10,10,True,date,False
Free Zone Companies Licensing,free_zone_companies,7,license_number,250,0,0.0,209,2,12,True,nvarchar,False
Free Zone Companies Licensing,free_zone_companies,8,license_source_ar,250,1,0.4,16,4,35,True,nvarchar,False
Free Zone Companies Licensing,free_zone_companies,9,license_source_en,250,6,2.4,14,5,41,True,nvarchar,False
Free Zone Companies Licensing,free_zone_companies,10,license_source_id,250,0,0.0,18,3,8,True,numeric,False
Free Zone Companies Licensing,free_zone_companies,11,phone,250,138,55.2,89,1,11,True,numeric,False
Free Zone Companies Licensing,free_zone_companies,12,webpage,250,221,88.4,27,6,30,True,nvarchar,False
Free Zone Companies Licensing,free_zone_companies,13,load_timestamp,250,0,0.0,1,23,23,False,,False
Land Registry,land_registry,1,actual_area,263663,449,0.170293,120965,4,13,True,"NUMBER(18,2)",False
Land Registry,land_registry,2,area_id,263663,0,0.0,234,3,3,True,NUMBER(10),False
Land Registry,land_registry,3,area_name_ar,263663,0,0.0,255,3,26,True,NVARCHAR2(200),False
Land Registry,land_registry,4,area_name_en,263663,0,0.0,283,4,33,True,NVARCHAR2(200),False
Land Registry,land_registry,5,is_free_hold,263663,8072,3.061484,2,1,1,True,NUMBER(1),False
Land Registry,land_registry,6,is_registered,263663,7445,2.82368,1,4,4,True,NUMBER,False
Land Registry,land_registry,7,land_number,263663,0,0.0,22145,1,5,True,NVARCHAR2(100),False
Land Registry,land_registry,8,land_sub_number,263663,0,0.0,2395,4,7,True,NUMBER,False
Land Registry,land_registry,9,land_type_ar,263663,20240,7.676466,15,4,18,True,VARCHAR2(50),False
Land Registry,land_registry,10,land_type_en,263663,20240,7.676466,16,7,22,True,VARCHAR2(50),False
Land Registry,land_registry,11,land_type_id,263663,20240,7.676466,20,1,2,True,NUMBER(4),False
Land Registry,land_registry,12,master_project_ar,263663,153891,58.366551,175,3,53,True,NVARCHAR2(250),False
Land Registry,land_registry,13,master_project_en,263663,153759,58.316487,189,2,58,True,NVARCHAR2(250),False
Land Registry,land_registry,14,master_project_id,263663,153759,58.316487,204,1,3,True,NUMBER(10),False
Land Registry,land_registry,15,munc_number,263663,32528,12.33696,9347,3,4,True,NVARCHAR2(10),False
Land Registry,land_registry,16,munc_zip_code,263663,32528,12.33696,264,3,3,True,VARCHAR2(3),False
Land Registry,land_registry,17,parcel_id,263663,32528,12.33696,188407,10,10,True,NUMBER,False
